text,sentiment
yay good enjoy break probably need hectic weekend take care hun xxxx,positive
scott guy good night,positive
im blonding slowly surely im blonding wana scratch hair im allowed,negative
person stood world full spineless make sad,negative
watching two half men work experience tomorrow,neutral
back aot last lec alot question mark head thank god tip able pull tru,positive
thanks glad like,positive
see approaching nice round number expect crashed time come back tonight,positive
day without sleep migraine thought life postr meant relaxing,negative
throwin kitchen like making rahs illi chili shalondas bangin cake,neutral
goodnight,neutral
see morning rush forum shoutbox overheat bcoz campaign flying skirt,negative
welcome back school dont study hard take time smell rose,neutral
youre kidding say fast like second tweet nothing,neutral
wtf min marked closedfaz cost grand,negative
roast yummy think mum impressed,positive
awww dont mean sound like overgrown age baby im still stick bad yesterday still bad,negative
going go kennel dog going watch goblet fire,neutral
thank much neitherrrr,positive
margarita w mommiewhat great combo,positive
god twitter stop eating undeleted dm,negative
dont,neutral
day cellstorms like,positive
happy mother day beautiful,positive
st ty follow back nd grrr dont cuz mess able follow others u want ur,neutral
none meowmies friend money even wouldnt able pay back,neutral
ok super bored guess one else,negative
fault didnt make u leave,negative
wordsaftersex never started,negative
beeen onee year,neutral
url previous post timer job httpbitlyafdb id removed space messed url e,negative
macbook dying switching iphone,negative
iodine watch wayyyy excessively much beverly hill today iodine americium proud fact television fail,negative
broke dresser shes since three,negative
rock guy world night make pancake next morning,positive
omg im sorry anything help,negative
really sure need deposit save money,negative
brought back memory mentioning mixerof pushed angel deskwith full glass beernot faultdesk fd,neutral
sorry hear,negative
honestly hope theatre get hit meteor get,negative
hmm following think declined thehodgecouk inclusion network,neutral
really ill atm,neutral
havin fun x btw isnt bowling,positive
lol good know time la h time difference good morning ya,positive
feel like throw,negative
irony inventor ford mustang cant keep car httptinyurlcomlpmvtk via,negative
time halo,neutral
staying school today,neutral
would appear note selfchange perfume nowhmm get tarot card,neutral
american trade journalist ask pr almost time uk journalist ermnot much come,neutral
sitting car cat keep meowing feel bad,negative
play tomorrow,neutral
love music especially fight thats awsome song far,positive
good morning tweepsland makin great monday huge shout follower muah muah appreciate,positive
great session canvassing sun miserable cu go pub,neutral
httpbitlycty celtic life,neutral
lmaobut youll still thoroughly enjoying conversation,positive
miss someonee,negative
tell pete look sexy beard,positive
got much gray hair sudden ordered garnier roasted coffee drugstorecom well see go,neutral
httptwitpiccomjaz cool luv,positive
star war boo wan na job hand u act high school lol,positive
terence cao overdose im fainting,neutral
tired dinner good churros good,neutral
buying first mac,neutral
great iodine found star war day may th beryllium rich_person embrace ewok today,positive
listening maroon five song jane one frontrunner album inch time,positive
cheese toast ham get ready go london,neutral
thanks ill check information_technology ill beryllium stay angstrom thursday night though,positive
suck,negative
welcome xuxu,positive
haha def song epic rich_person fun im listening new fnb,positive
look smashing darling trent reznor really getting married want rip mariqueens fake _,neutral
twitter spam oh,neutral
yeah sound sensible thought heston bleumenthal moment genius somehow,positive
trying reorganize plan tonight uggg hopefully still lot fun,positive
p thought gon na follow back twithar,neutral
class chem sc building see yeah,neutral
try draw mangaanime new web_site bad idea httpbitlykiov,negative
thank isay kamusta ang bulacan historical gimmick ang gilmore shopping trip,positive
saw week diet sugar rice wheat potato much protein want sugar,neutral
bet,neutral
another gorgeous day pauwill home time week though depressing thought,neutral
listening commentary track holiday inn never thought id see bing crosby black face rest movie cute,positive
sun,neutral
well guess brand angstrom pretty great pair iodine dont think birthday date departure happen,negative
chatting willy valdez comic,neutral
looking sister facebook miss yani,negative
happy mother day,positive
cousin moved like year ago miss much looking facebook im sad,negative
english essay rjwtf done long time ago assigned last thursday,negative
get done two onethird new moon inch three day eclipsethen work assignment sadly dnt write self,negative
curse firewallproxy waiter restriction information_technology volition rich_person delay iodine get home,negative
dont even wii b like xbox thats use,positive
much sand sd pismo weekend another canon powershot broken nd one year buy time,negative
chance seeing race germany unfortunately hardly tv news coverage cycling anymore,negative
lettuce spinach best cool weather live floridanot much luck growing,neutral
nice meet toooo good know another one following actually speak,positive
damn iodine make information_technology support forget damn dm,negative
well far back sanity least,neutral
thinking canï½t control thought,negative
today isnt going way planned early lunchbreak may back til mon weekend gon na fun friend tho,positive
hiii im ipodi cant fall asleep,neutral
sok try plot option arsenic talk sigh,negative
iodine doubt ill get one beryllium honest,positive
find chays key im gon na clean room tomorrow theyll pop,neutral
deff workin weekened,neutral
never thought id say miss job commute cubicle free food coffee downtown quit,negative
wish thereive moved san diego wa im depressed miss sunny san diegoooooooo,negative
min bej semanggi traffic friday siggghh,neutral
got much nite b bored bath still hav wash dry straight hair get clothes ready etc,neutral
know,neutral
alone,neutral
maybe im lacking friday feeling co trouser wont go thunder thigh,negative
going watch supernatural shall return afterwards,neutral
suck,negative
happy mother day mother,positive
wish still cornwall miss aunty dog,negative
feel good hardest part keep empty every day least several time week,neutral
erm yeah watch sway collapse river lol next time shall drag,negative
hmm gon na go ran mile hit gym time wake kid,neutral
iodine skip school manner excessively frequently im rather proud actually,positive
happy mother day mom hope rich_person angstrom fantastic day,positive
youve featured ykyat httpykyatcomnnd,neutral
mention spending time two bffs totally worth,positive
ugh hate bad grade st time ive ever failed class b b w like,negative
promenade tonight excessively bad im departure beryllium,negative
concert please explain im intrigued,neutral
would fun date steveo,positive
nooooo get haha ill gone later,neutral
lovin clean shaven mr flower look young reminds im getting old,positive
keep falling asleep im suppose awake miss babyy,negative
ahhh slept game im gon na try best watch tomorrow though hope play army,neutral
dont like seeing best friend cry break heart dont know say,negative
glad u feel like cooking im tired,neutral
like old day drinkin old spot,neutral
gahh freaking lip ring going death never cooraperates im jack haha,negative
wish could get twitter upload background,neutral
turn bird sound like twitterena check setting home page,neutral
haha cry,negative
unfort cant dm bc ur following,neutral
meant say yardhouse waikiki bday dj dozen others,neutral
gooooonight twitter hope im better tomorrow,positive
cant believe,negative
lonely need company,negative
yeah wanted say there yourname section bit tricky way find reply tho,neutral
surfing twitter,neutral
awhhh age doesnt matter awesome lady,positive
last week school final yesss,neutral
live long prosper lol star trek best,positive
josh excuse time going begin,neutral
look like hiding money offshore bank account behalf lastfm httpbitlycets,neutral
everyone say,neutral
thanks bb,positive
well hopefully ill see astatine conference,positive
totally austin power withdrawl symptons darrius withdrawl symptom mommy minne withdrawl syamptoms,neutral
make mind,neutral
cant sleep,neutral
upshot want hunt uhh well wish yall best luck tweeps,neutral
waiting friend come hang,neutral
start work missing like crazyi wont seeing till tuesday,negative
rofl uh huh,positive
foreman name maine anerexic,negative
rest well,positive
sadly sitting home could going partyyyyy,negative
thing arent easy simple seem,negative
download fail telephone department_of_energy like phone,negative
looked couldnt find amongst crowd,neutral
name,neutral
threw,negative
bought italian horseshoe charm dragon seems strong,positive
sidekick awkward flashing oh well leaving mommy flower stuff,negative
neither could looked ebay like euro two doubt parent would fork amount,negative
ipod die run information_technology charged,negative
_k_renee saturday cool friend job different position let know town miss u,negative
maybe ill go one day thanks im swined,positive
cant say havee im james r yesterdayy im learning quotess,positive
conversating,neutral
besties twitpic httptwitpiccomhac besties httptwitpiccomhac,neutral
head spinning math get_down dream inch formula good,negative
bull tell toris dad may never discovery remains httplfpresscanewsstand,negative
get music start playingi clicked home,neutral
good time rocking open mic thanks love n support working business plan presentation cg nite,positive
oops would edaust,negative
sneezing frequently,neutral
aw one fishies died,negative
eating breakfast acquiring ready go school,negative
palm itchy doesnt mean something coming great deal money,positive
cool thank much luv,positive
yes herrrrr dude im gon na cry,negative
watch star trek washington sol well done iodine think im see information_technology world_health_organization privation articulation,positive
yes actually im home mom laundry babysitting broke something didnt need b fixed,neutral
ugh soooo drag assing today brighter note got g update biznesssss,neutral
broken leg comment please,negative
good morning world feel really sick,neutral
like crazy witty humor,positive
powerblog powerblog challenge keep talking im newbie follower,neutral
ready costume making there one,neutral
happy star war day may th,positive
hoping hear something soon krystles surgery,positive
ohhh ok like frustrating hand g iphone last week upgraded couldnt unlock,negative
looking forward coffee driving tomorrow really,positive
arrggh kid wont settleneed kava liam thatll sort em,neutral
gorgeous mom happy mom daaay,positive
iodine think iodine may rich_person destroy angstrom friendship week acquiring transport away,negative
laugh im glad self confidence wonderful trait ill applaud extra loud okay,positive
im tired think im becoming old go,negative
want shut really hate living step dad cant wait move,negative
listening cat snore,neutral
work lammmeeee,negative
computer alllllllllllllllll day,neutral
httptwitpiccomutj aww must amazing brother,positive
im hungry wife bodyshop party bringing takeaway home much longer party go,neutral
dont care get mad like speaking mind im alreadt crazy help go da deep edge u,negative
im thirsty middle night get fridge find brand new bottle crancherry juice gone fml moment,positive
school work,neutral
good job track head co sadly cant access boo,neutral
thanks youve quiet lately,positive
inability manage money tough job market theyre getting behind bill saving bad,negative
aaaaaaaaaaa mcfly,neutral
little booboo sick,negative
im chirrup dumb proverb com kind folk whove tweet ahso sorry im ignore slow,negative
happy star war day,positive
haha know cant handle fame thank,positive
im bad blogger blogged week oops,negative
would advise watching cinema sure effect worth unless monster tv home,positive
iodine dont evening rich_person angstrom wii bacillus like xbox sol thats rich_person bash use,positive
thanks want continue improve process benefit customer thing like take time,neutral
get bubble tea cambodian new year year stand line min,neutral
room empty,neutral
happy mother day mother twitterville,positive
hate break everys heart confirmation jus came austin sophia never twitter another sad day,negative
get canada cant wtf seriously im allowed cross border,negative
im try truly difficult hate,negative
gon na go aunt party gon na late night thing hopfully get school tomorrow,neutral
proud ceviche bellini turning well loving smell fresh flower house,positive
zenrelated stuff go flow easy carry_through information_technology get_down rain sol rain volition flower maine away,positive
im laid back person part vinny opposite guess compliment work r u,neutral
hungry cant leave lunch,negative
yea chirrup angstrom batch fun babe particularly youve get ppl talk lol sound goooooood lol,positive
happy mother day mom played tongits ago,positive
grrr people suck cry animal die nature show people sick hunting endangered specie,negative
finished watching masterchef surprisingly perhaps good,positive
darn go whole weekend without em,negative
lmaoha simply wanted go ny,positive
thankyou ur night,positive
_everaldo macbook iodine run linux analogue imac iodine use vmware fusion great particularly inch unitymode,positive
errri dont privation go sit inch heat watch angstrom high school graduation,negative
tiny phd bigger keep taunting,neutral
_,neutral
bed good last saturday ec im gon na miss place cant wait til summer,negative
taking back horrible shoe mum made get urgggh nasty footwear problem cant find shoe,negative
know sometimes letting go make difference eh,neutral
congrats hughesy holly safe arrival rafferty david hughes hope well xoxo,positive
looking forward new week presentation book store dillingen today interesting sale seminar,positive
internet train awful,negative
flower grow,neutral
got work today three day left heart breaking,negative
work movie theatre toledo id let come see free,neutral
new super power camping place hr mac springleaf tower still eating fry,neutral
ive heard fall im waiting,neutral
may th starwarsday via,neutral
thats good day,positive
yes monday hard hope great day opportunity get point sun,neutral
midnight,neutral
im probs gon na wait come dvd x,neutral
broke gorilla pod think one lego knight lost helmet,neutral
would looking forward seeing tonight going,positive
minibar listening politics maybe tech starups soon,neutral
birthday today wish angstrom good one asshole sleepytime,negative
playing pacman itouch lol,neutral
thank thinking u caring,positive
chemo,neutral
drank sugar milk coffee coffee brain,neutral
cute watching matt play wii work,positive
spent morning watching eddie izzard glorious funny realli shud hav studied thou,positive
great seein guy today look happy love let hang soon love yall,positive
spent hour looking blog topic ended inventing grrrr httpbitlyqrzy,negative
bed watching rove,neutral
pic didnt work,neutral
shut know oll like zack,neutral
letting read,neutral
nothing except right eassy due monday,negative
feel useless dont know right im bored,negative
helloooo star war day cool lool wen go cnaterbury x,positive
totally agree always seems henpecking john even cheating thing,neutral
band work need laptop buy one ill drive shift forever,neutral
nit merely iodine buzzword go,negative
dont know ask carolyn also wont box empty time get,neutral
outz wif big big big happy family mommy day meal happy mommy day mommy,positive
finally reunited hunny bunny_ day b leaf another week away work night,positive
right iï½m stickler correct dpi export color value iï½m going dig find possible,neutral
sitting inch angstrom friday night bore,negative
trying figure,neutral
realized follower hey guy,neutral
aw tear iodine feel special district_attorney family haha thanks girl iodine love yal,positive
happy mother day beautiful mom im kind mom think little pup count,positive
happy mama day mother,positive
latest obession,positive
u feeling urself much u cant say hi likey u,negative
aku kbangun gara mimpi bad dream,negative
_foster see look icon theme btw,neutral
call,neutral
meeting right afternoon started fill,neutral
sitting watching britain got f talent watched small girl cry sad,negative
epicfail joseph inch class hanker liao,negative
httpbitlywlyl want go,neutral
dans public transport decided everything north london thats utter southern train alright,negative
lucky belong,positive
wan na play tonight pout pout side face,positive
isnt looking forward going back work day isnt long enough,negative
im giving httpbitlysnjen,positive
oh lol sorry mind always,neutral
im glad youve fun babe,positive
heading work,neutral
idkim trapped work day,negative
know im totally excited,positive
cop tell toris dad may never find remains httplfpresscanewsstand,negative
checked worked sorry,neutral
morrningg sleep twelve hour iodine rich_person angstrom concern,negative
haha dont ever many time,neutral
everybody welcome hello nicole,positive
new tmobile advert trafalger square look like lot fun except load pigeon,neutral
really really bored guess go bed,negative
hi consultant,neutral
fieldwork databook slept awkwardly bone sore,negative
hand im going localgovcamp,neutral
cross country todayhmmphh foot hurt,negative
information_technology habit work maine,negative
going workout swin fun,positive
awesome thats wan na roll become mogul status,positive
trying open docx file virtual system im dryer office,negative
finally taken shower much distraction twitter bubble wrap read drink smoothie,neutral
failed inspection know pas wooven woantitip bracket sold woven worse tax,negative
shower pm triple turned,neutral
hat slightly unexpected yet successful end grouling day night,positive
july long,negative
lucky beggin jury duty yearsthey dont ever send notice notice people address,negative
httptwitpiccomwf eeeeeeeeeee came,positive
sound good cleaning cynic order haha good night talk tomorrow,positive
hell yeah belgian beer bomb p,positive
communication class,neutral
ahhh still following think forgot,negative
saw yesterday pretty good,positive
ish okay loveee,positive
pleasure anytime,positive
bummed cant go open house today dd woke stomach bug blech yall fun,neutral
think friend thinking jonathan danny,neutral
_kay welcome twitter babe know meanstill trying figure,positive
baaaaaaaah there mega cockroach kitchen one kill heeeeelp haha retarded cat help,negative
today sad day tucson httptrimmq shall miss sour cream apple pie fondue separate seating group dog,negative
gots angstrom concern,negative
checked hubster think well pas feeling lazy caravan running around friend,neutral
half drive idol,neutral
sorry hear man cant reach heart go family,negative
yay star trek really good happy let got ta see imax,positive
httptwitpiccomza dont know always click doughnut picture lol always end wanting one,neutral
say goodnight good morning,neutral
rock angstrom guy universe astatine night brand pancake following morning,positive
probably he still married joan perhaps,neutral
gr sunday relaxing enjoying beautiful weather good nite,positive
going watch star trek wolverine bet going watch right,neutral
_catchfire happy birthday chip sister,positive
_lord cant get along,negative
saw xmen origin sat far best xmen movie amazing,positive
congratulation check one list,positive
upsidedown tomato plant died,negative
lol dood love miss,neutral
im stuck la love turn road rage lol,negative
link doesnt work,negative
napppinggg work,neutral
really good distraction ill check right,positive
tell mommy said n love mucho mucho,positive
im tired sick time,negative
note self never ever leave macbook pro stupid icurve fell,negative
wheres love,neutral
setting bookmark new blackberry curve anyone work get ahold anytime,neutral
oh thank god sad im happy,neutral
good luck finally long time panvel tweetup finally coming true,positive
date movie nate likely wolverine,neutral
tired didnt get home till work bjs,negative
nugget game everyoneeeee except,neutral
think found purse soulmate budget,neutral
awww dont meee haha youre gon na make saddd,neutral
right pull chair welcome,positive
bummed babydoll spaghettistrap tank three wolf moon tshirts love meme hate wearing fabric box,neutral
_educator thanks photograph expression great ill remark asap,positive
im jealous want go ny,negative
greg pritchard robbed ii gutted word,negative
need blackberry,negative
set get room last saturday cant apologise enough missing deccy,negative
discovered cause bug new netplayer build publishing bug fix hopefully new beta tomorrow,positive
traffic jam outside chicago feel office space right,positive
yeah man since heard spittin,neutral
observation snl gahhhhh volition forte soooooo funty,positive
happy bday sharon,positive
love love httpbitlychlav tease baby end boooooo still luv tho,positive
_life hey like love icarly rock youtube account httptinyurlcomcfud,positive
downloading song trying sneak lil homework main priority song lol,neutral
saturday washington good iodine delay monday night,positive
condolence,positive
electronic_mail em electronic_mail iodine give uracil thanx amazing person,positive
still like coldplay said one fav cd r one fav band,positive
iodine could merely wont get inch time earlier vega trip sol ill still expression like angstrom noob,negative
like weird,positive
_gal course cough mean hour extra testing debugging time,neutral
finally installed ovi mobile would good could downloaded comp installed mobile frickin mb download,neutral
bunny eating mom plant naturally started shooting bunny,neutral
think found httpbitlypj cant play,neutral
voted u personal myspace keep talking fake u helped thru hrdest time life x,positive
would welcome,positive
still cant believe gig poster little civic taken,negative
bash forgive pain one love,negative
_happy_emox lmao lucky minute foot ewww schoollol bus,negative
dont follow dream chase richard dumb think smart,positive
softball,neutral
dang last url went httpblipfmaigm,negative
yep still seat left pracc workshop w httpbitlytxpa see,neutral
rob get lucky game helium beat maine,positive
definately paris week get job certainly,neutral
tracky dak one good thing weather getting colder porridge,positive
ive got new frensfrm germanymexico n france havin dinner gather nite,neutral
iodine know iodine shouldve wear severe_acute_respiratory_syndrome mask airplane socal feeling beginning angstrom sore throat,negative
omg want go beach,neutral
im starting feel depressed hurricane talk im front line,negative
hungry already impressed everybody gone ruby,negative
may still dont like hearing name much blackhawks canuck,negative
finally got lil monster hand could run errand got ta rain,neutral
happy mother day mom inch twitterland,positive
im sooo lovei think,positive
man sinus r really buggin morning,negative
thanks,positive
exhausted coming home swim morning tiring remember happy mother day,negative
quick catch miss neighbor poor_people libby,negative
listening dave barnes getting really excited junior senior,positive
wish someone would inspire sexy time right ugh thats gon na happen ugh,neutral
oh cool alpha coming autoconnect feature wanted request,positive
would slip fall dirty school bathroom floor fml,negative
omg mom called im late he gone,negative
bed two day migraine,negative
carol vorderman cancelled interivew proof nonbeliever,negative
love da sexy ladiez ya beautiful unique sexy smart dont let call u cuz lady ya worth dat mean,positive
roman pain killer lq med thanks jess agreeing go get yogurt go,neutral
work ohwell need money,neutral
really want go see script ny august one go,negative
wow thats good,positive
think catch sleep befor go back uni haha goodnight,positive
miss taylor like crazy buzzword delay till he back,negative
good morning dont think stopped raining past three day care,positive
im hmv,neutral
got school goin cinncinatti wednesday,neutral
nice weatherlooks like information_technology departure rain inch delhi,positive
wahamerican chocolate cheese cake chweet mummy muaxxx,positive
awwww thought itd yummy experience try next time kapag magkakasama ulet tayo nila mapet,positive
ive since hate wen cant sleep gary takn nap mite,neutral
good morning tweet,positive
suffering benadryl hangover morning killer headache ugh,negative
information_technology good rich_person associate_in_nursing old friend astatine ur new job another good day astatine work paycheck day volition beryllium evening better,positive
ok happy star war day everyone say may th,positive
im sleeping accepts appology,negative
ugh final exam todayready summer start,neutral
teeth head hurt,negative
selfupdate clean ruby fixed part failing rbrubygems,negative
thank opendns saving comcasts crappy dns server internet back par finally,neutral
seeing anyone still awake,neutral
dropped baby st day toddler room shes officially toddler growing way fast,neutral
want wish mom momstobe happy mother day,positive
hooome work awake still hour,neutral
well made list look better cant anything number picture since already closed tab,neutral
sooo stressed everything,negative
angstrom beautiful song anyone could use angstrom choice maine tonight httpblipfmynxo,positive
got woken mom entire first floor flooded furniture curtain mom expensive rug soaked ruined,negative
havent one week really mean joke played,negative
wondering sanity bit dear,neutral
_and_jay hi job,negative
give snap hows work going,neutral
omgness autopsy iodine need beup early set garage sale information_technology start angstrom wish iodine state im beat,negative
problem loved idea course photo perfect,positive
good luck wan na see waited outside bus see autograph tho,positive
preston stayed home dont know,neutral
yup stayed end exciting,positive
watchin moovieand im sited going friend saras tomorrow injured luv yall keep u updated,neutral
dont believe puppy like brussels sprout,positive
ohay clean teeth,positive
_rockett know laughed stupid womens right joke wth glad humor,positive
finally got money bad go bill,negative
hey sorry headahce,negative
hows pea doin meet tell said hello,neutral
went ride tortilla flat morning little warm nice ride none less,positive
driving work running late like always time starbucks,neutral
wish would tweet followed,neutral
feel good,negative
arrogant tap oregon,negative
_w twas interview much private chat,neutral
waaaa ran machine problem yeah,neutral
fudge bsd whole paper tired ugh hate school time sleep,negative
lol tweet always fun follow never dull moment kulps,positive
would panic little maybe read orbitron gym like dowhen else fails,negative
tired goodnight chirrup information_technology mother day happy mother day lov moomy yayy god bless,negative
thanks ff wink,positive
looking good outside continues feel movie night coming,negative
httptwitpiccomjjj birthday breakfast yummm chai associate_in_nursing apple fritter,positive
happy mother day well good one,positive
yard house packed three people deep bar went pf changsgot right,neutral
discern request hulu support excellent idea,positive
one day left school th approaching,neutral
hey,neutral
problem glad,positive
researching ecologically friendly carrier bag cheap eco friendly,positive
omg haha half hour late work whoop hahaha h workin sat mornins,negative
im feeling inspire todayi washington suppose beryllium bham concert tonight,negative
_smith wats got luck u guy beat la lol would like see best wish denver nugget cavs done,positive
bored would love someone talk,neutral
sleep work tomorrow,neutral
seven yet,neutral
enjoying view sg flyer,positive
teaching people beauty chirrup,positive
ughhh seriously hung,negative
playing game watching straight people hook cant leave another reason,neutral
sigh wheres candy,negative
facebookcom isint letting change profile picture,negative
makeup cute dress im ready go,positive
angstrom decelerate answerer,negative
por favor need five httptinyurlcomdzcpg,neutral
last day volleyball miss everyone already oh well banquet th hopefully everyones gon na,neutral
happy birthday,positive
iigghhtt fur geet idc idk eh bombast ugh bombast idk hah um yah immboredddd ugh ailment fuckitt,negative
halu dinner second time week,neutral
_crow he happy h haha know would,positive
iodine need angstrom new iphone case merely iodine americium broke,negative
woman follow,neutral
haha def __ rob bank could get swedish fish world,neutral
lol wen mum used take kid wud always eat bread instead haha,neutral
wake week funny deathcab make think use calendar track work hour,positive
going fold laundry hit sack boring saturday evening,negative
sure ill chat sec here thread httptinyurlcomojcfl,neutral
good morning im wake mother day,positive
hole chirrup thing new excessively information_technology lease maine change picture sol stuvk wee stpid thing,negative
would truly like beryllium astatine work alternatively picking angstrom nap,positive
wish coming australia new zealand sticky tour ant,neutral
grats aaron christine,neutral
scary guy colbert,negative
grrr dont finish july rd,negative
lone one thing sucking holiday badgering pet cat volition beryllium tgthr cat resort merely jonesy wont rich_person much company dadinlaw,negative
happy mother day mama,positive
u tell ppl ull vancouver,neutral
looked hotel web sitewhat place massage thats job lol lol,neutral
early wan na go back sleeep,neutral
marriage isnt legal everywhere,negative
shopping tonight cant wait lucky already finished work im stuck forever,neutral
think x confusing cant believe many peep know heart,negative
know haha night,neutral
drove mazda rx today boy car fun sadly though dont find car much fun,neutral
boopboopboop still talk ashley brittany ive talk ashley forever convo still go place amazing,positive
mom want lay well later probably little im sorry youre sick,negative
know he mad u,negative
upsidedown tomato plant died,negative
time go swimming freezing water kalies yeah,positive
second breakfast iodine privation food lol tweet maine breakfast youre loooooolding,positive
wish could want stay play u guy enjoy block party,positive
amaze time stopping_point night mcfly incredible,positive
_jane okay well dont feel bad lmao,positive
enjoy family trump everything,positive
im science boring,negative
ready weekend sad iodine rich_person beryllium astatine office tomorrow morning,negative
dog dug hole backyard well iwas sleeping im grounded,negative
omg exctied,positive
went see priscilla ahn last night amazin band actually,positive
problem wasnt really sure application twibe page,neutral
thats awesome cant believe poster already havent seen one yet,positive
tan,negative
writing wasnt scrub,neutral
interesting see differing account mandy always pc account robbie monk,neutral
look like rain oh well give chance work new crochet pattern work,positive
miss already sad face texted seriously gon na make cry,negative
rome without ceasar,neutral
getting upset work cu bindz j bully wont let go duty free shopping,negative
chillen started twitter,neutral
ill also fix itunes bliptv change url since thats part rss feed,neutral
well gracias haha play,positive
going go london week change ticket would right,neutral
beer buzz almost gone world become complicated,negative
say wasnt muttering,neutral
ok star trek fan given new movie good review getting excited,positive
iodine think telephone hour_angle officially spot dust,negative
last day college today,neutral
